time (seconds),Sweep 0_Clamp Current (pA),Sweep 1_Clamp Current (pA),Sweep 2_Clamp Current (pA),Sweep 3_Clamp Current (pA),Sweep 4_Clamp Current (pA),Sweep 5_Clamp Current (pA),Sweep 6_Clamp Current (pA),Sweep 7_Clamp Current (pA),Sweep 8_Clamp Current (pA)
0.0304,6.7138671875,6.103515625,3.0517578125,6.103515625,6.7138671875,7.32421875,4.2724609375,-1.220703125,10.3759765625
0.030600000000000002,-1.220703125,1.220703125,9.765625,2.44140625,0.6103515625,1.220703125,7.9345703125,3.662109375,9.765625
0.0308,1.220703125,4.2724609375,9.1552734375,1.8310546875,-0.6103515625,2.44140625,1.220703125,7.32421875,6.103515625
0.031,9.765625,9.765625,1.220703125,0.0,4.8828125,6.103515625,-1.8310546875,6.103515625,6.7138671875
0.031200000000000002,2.44140625,4.2724609375,0.0,0.6103515625,9.765625,0.0,3.662109375,0.6103515625,1.220703125
0.031400000000000004,0.0,1.8310546875,0.6103515625,0.0,7.32421875,1.8310546875,4.8828125,1.220703125,1.220703125
0.0316,4.8828125,4.8828125,-0.6103515625,1.8310546875,3.0517578125,4.8828125,-0.6103515625,6.103515625,-0.6103515625
0.0318,9.765625,3.0517578125,1.8310546875,2.44140625,0.0,3.662109375,6.103515625,1.8310546875,2.44140625
0.032,6.7138671875,1.220703125,6.103515625,6.103515625,1.220703125,-4.8828125,0.6103515625,6.103515625,7.9345703125
0.0322,0.0,7.9345703125,3.0517578125,9.765625,3.0517578125,0.6103515625,4.2724609375,0.6103515625,10.3759765625
0.0324,0.0,1.8310546875,-0.6103515625,10.986328125,6.103515625,6.103515625,5.4931640625,0.0,2.44140625
0.032600000000000004,2.44140625,1.220703125,1.220703125,6.103515625,6.7138671875,6.103515625,-0.6103515625,4.8828125,1.220703125
0.0328,1.8310546875,0.6103515625,6.7138671875,2.44140625,9.1552734375,0.6103515625,5.4931640625,6.103515625,0.6103515625
0.033,6.103515625,7.9345703125,-1.220703125,0.0,9.765625,-0.6103515625,7.32421875,-1.8310546875,4.2724609375
0.0332,8.544921875,5.4931640625,7.32421875,2.44140625,10.3759765625,1.220703125,-0.6103515625,7.9345703125,6.103515625
0.0334,6.7138671875,1.8310546875,-1.8310546875,1.220703125,10.3759765625,4.8828125,0.0,0.6103515625,3.662109375
0.033600000000000005,9.1552734375,-0.6103515625,4.8828125,3.0517578125,9.1552734375,6.7138671875,6.7138671875,5.4931640625,0.6103515625
0.033800000000000004,9.1552734375,-0.6103515625,6.103515625,9.765625,6.103515625,6.7138671875,7.9345703125,4.8828125,4.2724609375
0.034,6.7138671875,2.44140625,-0.6103515625,6.103515625,7.9345703125,5.4931640625,3.0517578125,-1.8310546875,9.1552734375
