time (seconds),Sweep 0_Membrane Potential (mV),Sweep 1_Membrane Potential (mV),Sweep 2_Membrane Potential (mV),Sweep 3_Membrane Potential (mV),Sweep 4_Membrane Potential (mV),Sweep 5_Membrane Potential (mV),Sweep 6_Membrane Potential (mV),Sweep 7_Membrane Potential (mV),Sweep 8_Membrane Potential (mV)
0.0162,-63.140869140625,-62.591552734375,-63.29345703125,-63.262939453125,-63.65966796875,-63.629150390625,-63.385009765625,-63.04931640625,-63.17138671875
0.0164,-63.17138671875,-63.018798828125,-63.8427734375,-63.41552734375,-63.568115234375,-63.4765625,-63.201904296875,-62.744140625,-63.262939453125
0.0166,-63.4765625,-62.98828125,-63.323974609375,-63.41552734375,-63.446044921875,-63.201904296875,-62.98828125,-62.957763671875,-62.92724609375
0.016800000000000002,-63.4765625,-62.713623046875,-63.812255859375,-63.232421875,-63.385009765625,-63.140869140625,-63.201904296875,-62.68310546875,-63.079833984375
0.017,-63.323974609375,-62.5,-63.41552734375,-63.41552734375,-63.262939453125,-63.262939453125,-63.507080078125,-63.079833984375,-63.262939453125
0.0172,-63.29345703125,-62.56103515625,-63.53759765625,-63.507080078125,-63.1103515625,-63.4765625,-63.385009765625,-62.744140625,-63.1103515625
0.017400000000000002,-63.323974609375,-62.68310546875,-63.720703125,-63.629150390625,-63.018798828125,-63.4765625,-63.079833984375,-62.92724609375,-62.92724609375
0.0176,-62.713623046875,-62.98828125,-63.41552734375,-63.29345703125,-63.079833984375,-63.690185546875,-62.92724609375,-63.1103515625,-63.262939453125
0.0178,-63.323974609375,-63.04931640625,-63.4765625,-63.17138671875,-63.29345703125,-63.4765625,-63.17138671875,-62.744140625,-63.018798828125
0.018000000000000002,-63.446044921875,-62.92724609375,-63.751220703125,-63.568115234375,-63.29345703125,-63.4765625,-63.446044921875,-62.744140625,-63.29345703125
0.0182,-63.4765625,-62.92724609375,-63.751220703125,-63.41552734375,-63.4765625,-63.41552734375,-63.323974609375,-63.1103515625,-62.8662109375
0.0184,-63.1103515625,-62.835693359375,-63.4765625,-63.4765625,-63.4765625,-63.53759765625,-63.17138671875,-62.92724609375,-63.232421875
0.018600000000000002,-63.1103515625,-62.80517578125,-63.3544921875,-63.385009765625,-63.41552734375,-63.446044921875,-62.98828125,-62.713623046875,-63.1103515625
0.0188,-62.98828125,-62.744140625,-63.65966796875,-63.65966796875,-63.018798828125,-63.385009765625,-62.957763671875,-62.713623046875,-62.8662109375
0.019,-62.92724609375,-62.896728515625,-63.90380859375,-63.232421875,-63.507080078125,-63.323974609375,-62.92724609375,-63.079833984375,-63.232421875
0.019200000000000002,-63.140869140625,-62.98828125,-63.934326171875,-63.4765625,-63.018798828125,-63.140869140625,-62.92724609375,-63.201904296875,-63.17138671875
